Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
12.40,0,0.0834668709800411711153067245,0.0834668709800412,0.0834668709800412,0.0834668709800412,0.0834668709800412,0,0.0000000,0.0000000,0,8.746439098105339780538064534,67.617860599988184246014422578,71.412799086972442383517273435,1052001000
12.41,0,0.0834461825177877460501179858,0.0834461825177878,0.0834461825177878,0.0834461825177878,0.0834461825177878,0,0.0000000,0.0000000,0,8.743316579626244680639236972,67.609766404626864280918843787,71.407573676397880413664893115,1052849000
12.42,0,0.0834255317591935044476078606,0.0834255317591935,0.0834255317591935,0.0834255317591935,0.0834255317591935,0,0.0000000,0.0000000,0,8.740196717950631205459421984,67.601701067135004820530285493,71.40236800523023662943991332,1053698000
12.43,0,0.0834049162198297098711878935,0.0834049162198297,0.0834049162198297,0.0834049162198297,0.0834049162198297,0,0.0000000,0.0000000,0,8.737078774805808272091556225,67.593636843861264877721242307,71.397164586632591745674230566,1054546000
12.44,0,0.0833843393708561354829416117,0.0833843393708561,0.0833843393708561,0.0833843393708561,0.0833843393708561,0,0.0000000,0.0000000,0,8.733963458579909149714621951,67.585576833937085629693413113,71.391965103917402179739505534,1055395000
12.45,0,0.0833638077625957430076064873,0.0833638077625958,0.0833638077625958,0.0833638077625958,0.0833638077625958,0,0.0000000,0.0000000,0,8.730850257261348755421555818,67.577523444688387434977908016,71.386771327400247814591559298,1056243000
12.46,0,0.0833433131798469056628196061,0.0833433131798469,0.0833433131798469,0.0833433131798469,0.0833433131798469,0,0.0000000,0.0000000,0,8.727739599275344358391340079,67.569457949753195803398454075,71.381571050787315243345818331,1057091000
12.47,0,0.0833228561609999250454446830,0.0833228561609999,0.0833228561609999,0.0833228561609999,0.0833228561609999,0,0.0000000,0.0000000,0,8.724631227834983199673888588,67.561415414169929128712440838,71.376386898093823015606662018,1057940000
12.48,0,0.0833024413071267809754141051,0.0833024413071268,0.0833024413071268,0.0833024413071268,0.0833024413071268,0,0.0000000,0.0000000,0,8.721524829178745576577252005,67.553374913043055990429596722,71.371205575889263419721423908,1058788000
12.49,0,0.0832820612169515639756733739,0.0832820612169516,0.0832820612169516,0.0832820612169516,0.0832820612169516,0,0.0000000,0.0000000,0,8.718420972485699730151344181,67.545337204741952028139641961,71.366027324014235238429021641,1059637000
